date,time,open,high,low,close,volume,number_of_trades
2021-04-27,11:13 AM,115.7,115.72,115.7,115.7,118,3
2021-04-27,11:14 AM,115.7,115.7,115.7,115.7,4,2
2021-04-27,11:15 AM,115.7,115.73,115.68,115.7,319,9
2021-04-27,11:16 AM,115.745,115.745,115.7,115.72,820,9
2021-04-27,11:17 AM,115.72,115.73,115.72,115.73,323,6
2021-04-27,11:18 AM,115.74,115.745,115.73,115.73,418,8
2021-04-27,11:19 AM,115.72,115.72,115.69,115.69,409,7
2021-04-27,11:20 AM,115.675,115.72,115.675,115.69,464,8
2021-04-27,11:21 AM,115.7,115.7,115.67,115.69,319,6
2021-04-27,11:22 AM,115.69,115.69,115.65,115.655,371,9
2021-04-27,11:23 AM,115.65,115.65,115.51,115.52,113,6
2021-04-27,11:24 AM,115.51,115.53,115.51,115.53,425,6
2021-04-27,11:25 AM,115.56,115.59,115.56,115.575,626,10
2021-04-27,11:26 AM,115.59,115.63,115.59,115.63,351,6
2021-04-27,11:27 AM,115.605,115.605,115.56,115.56,510,6
2021-04-27,11:28 AM,115.55,115.55,115.535,115.535,378,7
2021-04-27,11:29 AM,115.51,115.51,115.5,115.5,36,4
2021-04-27,11:30 AM,115.5,115.56,115.5,115.56,1139,17
2021-04-27,11:31 AM,115.58,115.58,115.57,115.58,103,5
2021-04-27,11:32 AM,,,,,0,0
2021-04-27,11:33 AM,115.63,115.645,115.62,115.64,220,5
2021-04-27,11:34 AM,115.635,115.635,115.61,115.62,244,3
2021-04-27,11:35 AM,115.63,115.63,115.62,115.63,394,10
2021-04-27,11:36 AM,115.68,115.68,115.67,115.67,104,4
2021-04-27,11:37 AM,115.64,115.67,115.64,115.67,256,4
2021-04-27,11:38 AM,115.67,115.68,115.67,115.68,200,2
2021-04-27,11:39 AM,115.68,115.69,115.68,115.69,109,6
2021-04-27,11:40 AM,115.67,115.67,115.64,115.64,300,2
2021-04-27,11:41 AM,115.65,115.66,115.65,115.66,248,5
2021-04-27,11:42 AM,115.63,115.68,115.63,115.68,282,6
2021-04-27,11:43 AM,115.67,115.7,115.67,115.7,245,7
2021-04-27,11:44 AM,115.69,115.69,115.67,115.67,12,2
2021-04-27,11:45 AM,115.64,115.64,115.63,115.63,315,3
2021-04-27,11:46 AM,115.64,115.64,115.64,115.64,51,2
2021-04-27,11:47 AM,115.625,115.625,115.57,115.57,255,4
2021-04-27,11:48 AM,115.575,115.575,115.575,115.575,100,1
2021-04-27,11:49 AM,115.56,115.56,115.51,115.51,329,8
2021-04-27,11:50 AM,115.54,115.54,115.53,115.53,224,2
2021-04-27,11:51 AM,115.54,115.59,115.54,115.59,482,8
2021-04-27,11:52 AM,115.68,115.685,115.66,115.66,252,6
2021-04-27,11:53 AM,115.69,115.7,115.68,115.695,620,9
2021-04-27,11:54 AM,115.665,115.7,115.665,115.7,600,6
2021-04-27,11:55 AM,115.69,115.71,115.69,115.695,886,7
2021-04-27,11:56 AM,115.68,115.68,115.67,115.67,410,5
2021-04-27,11:57 AM,115.67,115.675,115.67,115.675,300,3
2021-04-27,11:58 AM,115.69,115.69,115.69,115.69,300,3
2021-04-27,11:59 AM,115.67,115.67,115.66,115.67,300,3
2021-04-27,12 PM,,,,,0,0
2021-04-27,12:01 PM,115.69,115.74,115.69,115.72,446,8
2021-04-27,12:02 PM,115.72,115.72,115.72,115.72,4,1
2021-04-27,12:03 PM,115.72,115.72,115.68,115.695,567,11
2021-04-27,12:04 PM,115.7,115.72,115.7,115.715,509,5
2021-04-27,12:05 PM,115.715,115.725,115.7,115.7,503,6
2021-04-27,12:06 PM,115.725,115.725,115.725,115.725,100,1
2021-04-27,12:07 PM,115.72,115.73,115.72,115.73,1250,12
2021-04-27,12:08 PM,115.7,115.7,115.68,115.69,305,7
2021-04-27,12:09 PM,115.72,115.725,115.71,115.72,687,10
2021-04-27,12:10 PM,115.7,115.7,115.7,115.7,400,4
2021-04-27,12:11 PM,115.63,115.64,115.61,115.62,978,11
2021-04-27,12:12 PM,115.61,115.64,115.61,115.625,904,10
2021-04-27,12:13 PM,115.65,115.65,115.65,115.65,200,2
2021-04-27,12:14 PM,115.65,115.65,115.56,115.57,3400,18
2021-04-27,12:15 PM,115.58,115.595,115.55,115.585,500,5
2021-04-27,12:16 PM,115.59,115.64,115.58,115.64,1105,10
2021-04-27,12:17 PM,115.62,115.62,115.61,115.61,200,2
2021-04-27,12:18 PM,115.59,115.59,115.585,115.585,307,6
2021-04-27,12:19 PM,115.58,115.61,115.58,115.6,806,12
2021-04-27,12:20 PM,115.6,115.66,115.6,115.66,340,5
2021-04-27,12:21 PM,115.65,115.655,115.64,115.65,399,9
2021-04-27,12:22 PM,115.64,115.67,115.6,115.67,1843,22
2021-04-27,12:23 PM,115.68,115.73,115.68,115.725,1808,17
2021-04-27,12:24 PM,115.725,115.73,115.67,115.68,980,10
2021-04-27,12:25 PM,115.68,115.73,115.665,115.73,1332,17
