date,time,open,high,low,close,volume,number_of_trades
2021-04-28,1:40 PM,112.77,112.77,112.75,112.75,157,3
2021-04-28,1:41 PM,112.72,112.72,112.64,112.645,804,10
2021-04-28,1:42 PM,112.62,112.655,112.62,112.655,151,4
2021-04-28,1:43 PM,112.63,112.63,112.61,112.63,308,5
2021-04-28,1:44 PM,112.62,112.62,112.61,112.61,400,5
2021-04-28,1:45 PM,112.6,112.6,112.57,112.57,301,4
2021-04-28,1:46 PM,112.56,112.59,112.56,112.57,734,8
2021-04-28,1:47 PM,112.58,112.58,112.5,112.5,474,11
2021-04-28,1:48 PM,112.465,112.465,112.44,112.45,400,6
2021-04-28,1:49 PM,112.45,112.45,112.43,112.45,703,7
2021-04-28,1:50 PM,112.43,112.45,112.41,112.45,762,10
2021-04-28,1:51 PM,112.47,112.47,112.425,112.44,500,5
2021-04-28,1:52 PM,112.44,112.44,112.42,112.42,404,4
2021-04-28,1:53 PM,112.435,112.45,112.43,112.43,981,9
2021-04-28,1:54 PM,112.44,112.44,112.43,112.43,164,6
2021-04-28,1:55 PM,112.45,112.485,112.445,112.485,405,4
2021-04-28,1:56 PM,112.485,112.485,112.44,112.44,822,10
2021-04-28,1:57 PM,112.44,112.44,112.41,112.41,706,8
2021-04-28,1:58 PM,112.41,112.45,112.4,112.4,676,11
2021-04-28,1:59 PM,112.41,112.42,112.39,112.41,600,8
2021-04-28,2 PM,112.42,112.46,112.31,112.31,223,5
2021-04-28,2:01 PM,112.45,112.45,112.41,112.41,919,10
2021-04-28,2:02 PM,112.41,112.46,112.4,112.42,2144,12
2021-04-28,2:03 PM,112.44,112.5,112.44,112.5,407,7
2021-04-28,2:04 PM,112.44,112.44,112.36,112.365,390,8
2021-04-28,2:05 PM,112.365,112.41,112.34,112.355,561,11
2021-04-28,2:06 PM,112.35,112.38,112.31,112.31,587,7
2021-04-28,2:07 PM,112.31,112.31,112.26,112.28,1135,13
2021-04-28,2:08 PM,112.26,112.28,112.25,112.26,1089,16
2021-04-28,2:09 PM,112.25,112.28,112.25,112.27,1439,12
2021-04-28,2:10 PM,112.27,112.27,112.21,112.22,759,12
2021-04-28,2:11 PM,112.22,112.24,112.21,112.215,939,8
2021-04-28,2:12 PM,112.2,112.21,112.2,112.21,434,5
2021-04-28,2:13 PM,112.205,112.205,112.14,112.14,1388,17
2021-04-28,2:14 PM,112.15,112.205,112.15,112.205,233,6
2021-04-28,2:15 PM,112.25,112.28,112.225,112.26,2191,23
2021-04-28,2:16 PM,112.26,112.26,112.14,112.14,398,11
2021-04-28,2:17 PM,112.12,112.17,112.12,112.17,610,8
2021-04-28,2:18 PM,112.16,112.16,112.15,112.15,300,3
2021-04-28,2:19 PM,112.16,112.175,112.13,112.17,394,10
2021-04-28,2:20 PM,112.19,112.23,112.19,112.23,360,9
